0.999987232027434+-5.09990377676165e-11i,0.00052702783612359+6.94667070269933e-06i,-0.00150363183963471+8.54118525121794e-06i,0.00479551810068815+6.5326251521287e-09i
0.999985208041643+-6.94586299167983e-10i,0.000557555244705993+7.75674777115195e-06i,-0.00161588573473833+1.02072062037114e-05i,0.00516348516021247+8.28000570096569e-09i
0.999983053375911+-1.60732291808232e-09i,0.000590858452666133+8.60095076481435e-06i,-0.00172509503486262+1.20328832690025e-05i,0.00552880417744964+1.03443381591436e-08i
0.999980734375767+-2.79936741440468e-09i,0.000627877527356834+9.47973410180137e-06i,-0.00183299514239144+1.40267627687792e-05i,0.0058971594267869+1.2628159568531e-08i
0.999978277522144+-4.21694602092811e-09i,0.000657620342958765+1.03905428705602e-05i,-0.00193720222431799+1.61911910110466e-05i,0.0062656920411353+1.52105045902309e-08i
0.999975643923042+-5.99654597314481e-09i,0.000701800852593023+1.13315769822909e-05i,-0.00204751438919774+1.85220606120236e-05i,0.00663522792486038+1.80533399505429e-08i
0.999972845621986+-8.04275701832257e-09i,0.000749903685425809+1.22975088251231e-05i,-0.00216402179730409+2.10210964579978e-05i,0.00700443285889193+2.1322732298779e-08i
0.999969894586116+-1.04248899789539e-08i,0.000794385654645143+1.32857592217958e-05i,-0.00227820162255209+2.36921652661182e-05i,0.007374817448577+2.50582311097129e-08i
0.999966780648879+-1.31066780704912e-08i,0.000840910443980294+1.4298677946143e-05i,-0.00239502939498608+2.65463048458374e-05i,0.0077455402251282+2.90535080916483e-08i
0.999963513745782+-1.60941903955703e-08i,0.000878885445389954+1.53322927581956e-05i,-0.00251090743387512+2.95842420692902e-05i,0.00811744855939977+3.36756085932665e-08i
0.999960115481432+-1.95790843852333e-08i,0.000921945871263752+1.63883200821618e-05i,-0.00262943142785759+3.28115590124761e-05i,0.00848541144315791+3.88891003981718e-08i
0.999956590313664+-2.34210811277659e-08i,0.000956934124791545+1.74631569035093e-05i,-0.00274346283397457+3.62285892425468e-05i,0.00885288425065534+4.44975743758451e-08i
0.999952922474247+-2.77887377358387e-08i,0.000993751157203915+1.85593049591103e-05i,-0.00285734632133378+3.98393117007167e-05i,0.00921948665749605+5.08068789107666e-08i
0.999949071744051+-3.26354133522531e-08i,0.0010289361093745+1.96703525702995e-05i,-0.0029715289841025+4.36317346476678e-05i,0.00958973062887841+5.77200529953553e-08i
0.999945085036775+-3.80919841760485e-08i,0.00106579743190528+2.0799973800478e-05i,-0.00308462720212151+4.76238130944314e-05i,0.00995858227771088+6.52429895930348e-08i
0.999940960389864+-4.41662025781434e-08i,0.00110461886888794+2.1945276782866e-05i,-0.00319860567297606+5.18166918381352e-05i,0.0103257593875074+7.34147282878879e-08i
0.999936660223708+-5.10609288521134e-08i,0.00114829724063785+2.31050778532649e-05i,-0.00330896938022815+5.62157798379356e-05i,0.0106959796968972+8.18421403113639e-08i
0.999932189655902+-5.83730871456276e-08i,0.00119219836875964+2.42724020134879e-05i,-0.0034213208089595+6.08091690140319e-05i,0.011067295514697+9.04396886364915e-08i
0.999927607622835+-6.65784372342511e-08i,0.00123842464662452+2.54486551755217e-05i,-0.00353069936748906+6.56099017671606e-05i,0.011435690960186+9.98126511108055e-08i
0.999922807934805+-7.45874105225139e-08i,0.00128256161767522+2.66317691113518e-05i,-0.00365174095782429+7.06189126813816e-05i,0.0118064515901099+1.09699349742939e-07i
0.999917896820046+-8.36633836009063e-08i,0.00132920159199301+2.78152637231461e-05i,-0.003771665463446+7.58254823932541e-05i,0.0121737774960118+1.2050385064435e-07i
0.999912808251098+-9.30905660091826e-08i,0.00136435477518155+2.90069192166338e-05i,-0.00388402675214757+8.12675696987183e-05i,0.0125467653917109+1.31557141025365e-07i
0.99990760680521+-1.03601031110441e-07i,0.00140212136340517+3.0200423996884e-05i,-0.00399647554395494+8.69104060601324e-05i,0.0129163317729989+1.43618560902357e-07i
0.999902252020274+-1.14921451372807e-07i,0.00143829792871455+3.13967136076804e-05i,-0.00411221068368634+9.27674750875808e-05i,0.0132852487951804+1.57430000906641e-07i
0.999896798171064+-1.27264977085459e-07i,0.00147194392530619+3.25978784509865e-05i,-0.00422359600201655+9.88509093032593e-05i,0.0136519885356094+1.72386944572354e-07i
