-0.680597735060806+-0.586574112584459i,-0.831250908790436+0.407439174233374i,0.279275762041064+-0.0437010543410976i
-5.01111619314599+2.47671312379888i,-0.0132165086655163+3.8675758587055i,0.758448718385986+-1.14943726557375i
-5.98556947215328+2.20996609842989i,-0.202270460907833+3.57246052707436i,0.889119123779764+-1.04824222667406i
-6.55975202780866+1.80644016681325i,-0.525386204677729+3.12357790735417i,1.01416215232367+-0.891370953451407i
-6.82958270506826+1.41078230869828i,-0.810516827890276+2.68153750798384i,1.07861232125763+-0.737156895027216i
-6.89054769493983+1.10294244578083i,-1.07523218409675+2.33842593765006i,1.14130410612741+-0.614544322907776i
-6.88976186220354+0.880536285014673i,-1.47621054430294+2.09238791874937i,1.22391107148104+-0.517912977993165i
-7.03109371278388+0.705290456895836i,-1.82062262222892+1.89817986904321i,1.24927254968307+-0.4398990941019i
-6.95224585714104+0.550576341454222i,-1.92171889841102+1.7265885585913i,1.23816047833857+-0.377509770649126i
-6.97039073956909+0.410719247883105i,-2.13037096704799+1.57706886791886i,1.35247289467015+-0.317014182422904i
-6.93966362353457+0.2853277603462i,-2.5274272300694+1.44633883372235i,1.51611878139631+-0.254916150775444i
